snapshot_date,ticker,spot,expiry,dte,n_puts,n_calls,band_put_strike,band_call_strike,skew_band,delta_available,delta_put_strike,delta_call_strike,skew_delta
2026-07-25,AAPL,321.6600036621094,2026-08-21,27,19,44,290.0,355.0,-0.07977257663606552,True,310.0,347.5,-0.15880152239844442
2026-07-25,IWM,292.0899963378906,2026-08-21,27,44,27,263.0,312.0,0.13569359404885092,True,280.0,302.0,0.08156198886490296
2026-07-25,MSFT,381.5799865722656,2026-08-21,27,32,42,345.0,420.0,0.003803883361045035,True,355.0,420.0,0.0016004905106956624
2026-07-25,NVDA,208.75999450683597,2026-08-21,27,35,30,187.5,230.0,0.12452692939940913,True,195.0,225.0,0.1066118457845644
2026-07-25,QQQ,691.9600219726562,2026-08-21,27,97,80,625.0,760.0,0.17999698325662478,True,656.0,720.0,0.1376337346487972
2026-07-25,SPY,738.1799926757812,2026-08-21,27,146,79,664.0,800.0,0.14515801553896385,True,716.0,758.0,0.058829379888771016
2026-07-25,TSLA,319.69000244140625,2026-08-21,27,61,64,290.0,350.0,0.13766043608169315,True,290.0,350.0,0.13766043608169315
2026-07-27,AAPL,336.9100036621094,2026-08-28,32,15,17,305.0,370.0,0.05837563666717738,True,320.0,360.0,0.034214789066960516
2026-07-27,GLD,374.6300048828125,2026-08-28,32,11,15,335.0,410.0,0.043762807369354256,True,360.0,395.0,0.026357957688899647
2026-07-27,IWM,292.9100036621094,2026-08-28,32,37,24,265.0,320.0,0.11839196561636858,True,281.0,305.0,0.061837193859475975
2026-07-27,MSFT,389.1000061035156,2026-08-28,32,12,13,355.0,430.0,0.000567016217954408,True,360.0,430.0,0.000567016217954408
2026-07-27,NVDA,196.50999450683597,2026-08-28,32,14,19,175.0,215.0,0.06039399330714801,True,180.0,215.0,0.049274721800552757
2026-07-27,QQQ,682.1199951171875,2026-08-28,32,64,53,615.0,750.0,0.13253179057570816,True,650.0,717.0,0.07006733030986126
2026-07-27,SPY,739.0900268554688,2026-08-28,32,85,60,665.0,810.0,0.1357662062374334,True,715.0,761.0,0.061159165442571134
2026-07-27,TLT,83.75,2026-08-28,32,13,11,78.5,87.0,0.030924511911330194,True,82.0,85.5,0.026161629587265173
2026-07-27,TSLA,309.2200012207031,2026-08-28,32,36,43,280.0,340.0,0.025441553522708993,True,285.0,345.0,0.019875464458466663
